Negation type	Category	Sentence
no	Salient absence	a woman in a bikini top is on the bench and a man with no shirt is talking to her .
not	Other	a person wearing clothes that would not typically be found in us baseball is about to hit an incoming ball .
without	Salient absence	a orchestra practicing and playing music in a hall without an audience .
no	Salient absence	a young boy with no shirt sits on top of a large mound of rocks .
no	Salient absence	a teenager wearing striped shorts and no shirt is skateboarding down a road a long the ocean .
no	Salient absence	dozens of cyclists ride their bikes on a suspension bridge , with no cars visible .
without	Salient absence	a man without a shirt , wearing a helmet , jumping a bike in the air near water .
no	Salient absence	a woman walking through a parking lot with no shoes on .
no	Salient absence	a man with no shirt above a dumpster .
no	Salient absence	a young man in a blue short-sleeved shirt climbs up a rock face with no ropes .
not	Quotes and idioms	a young boy is climbing a stack of timber next to a sign that says not to climb on timber stacks .
without	Salient absence	a man without a shirt works on a roof .
no	Salient absence	two men with no shirts are on a rooftop .
no	Salient absence	a man in yellow pants and wearing no shirt is being watched by many people .
not	Negation of action/behavior	a policeman is on horseback nearby not looking at the men on the corner .
not	Salient absence	a man wearing a red t-shirt is snowboarding even though he 's not wearing a jacket .
no	Salient absence	a man in blue pants and no shirt is doing a skateboard trick while another man films it .
never	Other	individual trying a task never done before but watching his image in the water below him .
without	Salient absence	a little boy without a shirt on is standing in a forest , holding a small bird in his hands .
without	Salient absence	a man without a shirt wearing black jogging shorts and a woman in a black t-shirt and red shorts jog together through a park .
without	Salient absence	police officer on a sheriff 's department motorcycle poses in front of a male service member of a color guard with a blurry festive background that includes another motorcycle with 2 civilians without helmets wearing jeans .
not	Other	a dirt bike racer jumping off a hill with another racer not far behind .
no	Salient absence	male artist with no shirt and a tattoo on stage at an even with a microphone with a purple backdrop and stage lights above him .
no	(Preventing) future events	the person looks cautiously into traffic to be sure no car is coming .
no	Salient absence	a man with no legs is in a race with his wheelchair .
n't	Outside the frame	an older man holds a hammer while watching something we ca n't see .
without	Salient absence	two men in germany jumping over a rail at the same time without shirts .
not	Other	a surfer balances on a surfboard while another surfer is not on his board in the background .
without	Salient absence	a man without a shirt playing tennis .
no	Salient absence	a little girl in a white dress and no shoes walks down a dirt road in america .
miss	Negation of action/behavior	missed that point by a landslide .
without	Salient absence	one man on the left with black hair , wearing glasses , and another man on the right with slightly graying black hair , without glasses but clasping his hands together , are laughing .
no	Salient absence	man with no shirt on in a field .
no	Salient absence	two men surfing , one with no shirt the other with a blue shirt , blue shirt riding a wave
without	Salient absence	six males , four with shirts and two without , have taken a break from their construction work on a building .
nothing	Other	there is a man in shorts wading out waist deep in the water with nothing else in site .
no	Salient absence	the little boy wearing no shirt is running by a crowd of people .
no	Salient absence	a man with no shirt and a woman in a bikini in the water looking away from the camera .
miss	False positive	a group of 6 men are attempting to pick up or move a heavy missile looking object that is supported by a chicken foot .
not	Negation of action/behavior	a bunch of kids in a classroom not doing any work .
n't	Salient absence	two boys and two girls walk away from the camera , down a trail on the side of a hill wearing backpacks and jackets , though one girl does n't have a backpack on her back .
no	Not a description/Meta	i have no idea !
no	Salient absence	an older , somewhat obese man with no shirt and a tattoo is looking out from the porch of his house while a cat sits on the steps below .
no	Salient absence	a guy outside of a gas station wearing no shirt and behind a red truck .
no	Salient absence	a guy with no shirt and no shoes , who is painting the floor .
no	Salient absence	a child with jeans and no shirt sits at the top of a mound of rocks .
no	Salient absence	a man with glasses and no shirt brushing his teeth .
fail	Negation of action/behavior	a cowboy with a white hat fails to wrangle a calf at a rodeo .
no	Salient absence	a man with no shirt sitting on a moped .
miss	False positive	families trying to check on the board for the names of their loved ones who went missing after an earthquake .
no	Salient absence	a man wearing a cowboy hat and no shirt has his back turned and is being embraced by two women who are both smiling .
not	Negation of attitude	young couple , the woman dressed in a black jacket , striped scarf and wearing blond pigtails seem to be engaged in a conversation , with the man not looking a little skeptical .
fail	False positive	a line of people at a carnival game , with one woman failing her right arm .
no	Salient absence	the boy sits in the sand with no shirt .
miss	False positive	an asian woman in a misspelled t-shirt fans herself in the mid-afternoon sun while waiting for a bus in the city .
not	Not a description/Meta	rabbits can be pets not just food .
n't	Outside the frame	a man is setting up a camera to take shots of something that ca n't be seen near a zchtv wall .
miss	False positive	boys having some great moments with a missionary in the city of kinshasa , democratic republic of congo .
never	Quotes and idioms	"a man talking on a cellphone passes by a billboard stating , "" never sleep again . """
not	Other	a man in football gear is running with the football with an opposing team member not far behind him going in for a tackle .
without	Salient absence	a man without a shirt climbs a rock wall with help from a red rope .
without	Salient absence	a bike is flying in the air without a rider on a half pipe .
no	Salient absence	skinny man with no shoes on eating barbecue ribs outside .
no	Salient absence	a woman with no shirt rides a bike .
without	Salient absence	two men , without any shirts on , are playing table tennis
no	Salient absence	a man with no shirt is climbing a rock ledge .
without	Salient absence	one man without a shirt and a man with a hat steering are in a small boat .
n't	Negation of property	this building is n't in good shape .
lack	Negation of property	an old couple walks along a street that lacks color .
not	Outside the frame	a band plays outdoors playing guitars and drums , the singer wears sunglasses and a black shirt and bandanna with a goatee , the other man wears a fedora and purple shirt , the other players are not pictured .
not	(Preventing) future events	onlookers are praying that the cowboy does not fall off the bull in the rodeo .
miss	Negation of action/behavior	hockey goalie dressed in black with vaughn printed on pad , appearing to have missed the puck .
not	Negation of property	an older man , not white , is sitting at a table attempting to sell different varieties of soda and cigarettes , including pepsi , orange fanta , and marlboro .
without	Salient absence	a man without a shirt is working on the roof of a house .
not	Not a description/Meta	i am really not sure what this group is doing .
no	Salient absence	a man with no shirt on , holding a cup , watches a woman wearing a yellow bikini top in a crowd .
no	Salient absence	a man with no shirt stands holding wire in a half built house .
no	Quotes and idioms	"a woman wearing blue nail polish is showing her "" no regrets "" tattoo to the camera ."
no	Salient absence	a skateboarding man with no shirt does a trick and people walk in a busy city scene .
not	Negation of action/behavior	"a man sits in a dingy stall which says "" sol septu "" on the sidewalk while a man poses before the stand but does not look at it ."
n't	Salient absence	a man with a disability who does n't have legs is walking with another man who is entered into a marathon .
nothing	Other	performing an illusion in a mall while people watch , completely clothed head-to-toe , one seated man elevates another seated man directly above him with nothing but a vertical pole between them .
n't	(Preventing) future events	a boy is shaving a african american 's hair in a home setting he has clothing over him so he does n't get hair on himself .
no	Salient absence	two girls and a guy walk by large advertisement of man with no shirt on .
miss	False positive	the two ladies are missing each other .
nothing	Salient absence	a man wearing nothing but a cloth around his waist is standing , facing a crowd with a bright red substance on his back .
no	Salient absence	a blond kid with no shirt stares out a glass door .
no	Negation of action/behavior	a girl on a bicycle doing a jump in the air with no hands .
not	(Preventing) future events	a girl trying not to get her picture taking on a college campus .
not	Not a description/Meta	my two friends were working on our roof today and they just did not know where to start .
not	Quotes and idioms	"a man is holding a souvenir that says "" i 'm a photographer not a terrorist "" at what appears to be a rally somewhere in europe ."
miss	Negation of action/behavior	a player swinging and missing a baseball .
no	Salient absence	a street performer wearing no shirt is doing an act with fire .
without	Salient absence	a man without a shirt is sitting in a black chair on a crowded sidewalk .
no	Other	two little girls looking into the camera with no emotion on there faces .
n't	Not a description/Meta	someone who does n't care about the earth was here .
no	Salient absence	a man in a cap , wearing no shirt or shoes , sits in a blue chair on a cobbled street and paints upon a canvas .
without	Not a description/Meta	some elements are too small to visualize without a microscope .
miss	Negation of action/behavior	the goalie of a ice hockey team misses the puck .
no	Salient absence	a man with no short and red pants is laying down on a sidewalk .
no	Salient absence	a woman with no bra on and half naked posing next to a blue car .
n't	Outside the frame	there is a little blond boy with a brown jacket with an orange strip on top a man , but you ca n't see the man 's body just his head .
not	Salient absence	people are sitting in the grass not wearing shirts .
fail	Negation of action/behavior	a goalie tried and failed to defend a shot in a hockey game .
not	Salient absence	four guys three wearing hats one not are jumping at the top of a staircase .
miss	Salient absence	a young girl with a missing shoe is held by a woman in white pants with a black top .
without	Salient absence	two people are having a nontraditional marriage outside and without traditional tuxedos or dresses .
not	Negation of attitude	during the election party not all the guest attending are happy .
no	Salient absence	two boys , one wearing a blue shirt and the other has no shirt , sitting on a shoreline paying with water .
without	Salient absence	a man without a shirt on walking behind a maroon ford truck .
no	Salient absence	an asian man with no shirt on is cleaning .
no	Salient absence	two guys in a mirror , one has no shirt on and the other has a black shirt and it shaving .
no	Salient absence	a man wearing white shorts and no shirt is performing tricks on his bike in a skate park .
n't	Negation of attitude	a young man does n't understand why there is an egg on the table in front of him .
not	Outside the frame	two young black men play basketball , number ten wears a gsu jersey with white , and the other player wears light blue and yellow , but his number is not pictured , players line the stands , as the coach screams .
not	Other	a baseball player from the tigers is sliding onto a base , while the umpire is running to see whether or not the player is safe .
not	Negation of action/behavior	a well lit concert area occupied by an ensemble that is currently not playing their instruments .
not	Salient absence	one older man in a game preserve is standing with ear protection on while a younger man not wearing ear protection holds a rifle .
no	Salient absence	dark-haired man with no shirt standing outside .
without	Salient absence	a person wearing a colorful clown outfit without clown makeup on but with a sequined bandit mask and sequined witch hat , is creating something from an orange balloon .
not	Negation of action/behavior	a man drinking coffee does not notice a cat behind him .
without	Salient absence	one young girl about six years old , with blond-hair wearing a lime green jacket , blue pants , and red rain boots , is tapping her foot in the lake and she does n't even see the canoe in the distance by the trees without leaves .
not	Negation of action/behavior	a small white car is on the train tracks and may or may not have been hit by the train behind it .
not	Not a description/Meta	my date is not coming on time .
no	Quotes and idioms	"a young boy jumping into a pool that says "" no diving "" ."
miss	Negation of action/behavior	several hockey players are at the end zone as the goalie misses the puck which slid into the net .
no	Salient absence	a man wearing no shirt climbs the side of a large rock .
not	Negation of attitude	two people looking at each other , a third person is not attentive .
miss	Negation of action/behavior	the batter missed the ball .
no	Salient absence	a man wearing tight green pants and no shirt is doing a handstand on a tiny platform on top of a pole .
nothing	Salient absence	two very friends lost in the middle of the desert with nothing but a portable black mattress and a book with maps .
n't	Other	the men decided it would be a nice day to take the boat out for a ride and pose together because they do n't see each other often .
not	Negation of attitude	older man working in a factory not looking too excited about the photograph .
no	Salient absence	a barefooted man with no shirt on is playing a guitar .
without	Salient absence	a woman at graduation without a cap on .
no	Salient absence	man with no shirt and tatoos on back airborne with skateboard in hand .
no	Not a description/Meta	it seems like no matter when i read this , the news is always the same .
not	Negation of action/behavior	three smiling people and two others not facing the camera standing outside of a shack at night .
without	Salient absence	someone is performing in the open without an audience .
n't	Not a description/Meta	this dog does n't seem to appreciate how awesome his hat is .
no	Salient absence	a man with no shirt on and blue jeans .
no	Salient absence	an elder man wearing black shorts and no shirt on a beach is holding a bottle that 's in a brown bag while lifting his other hand toward a blue towel that is in front of a shirtless man standing next to the man wearing black shorts .
not	Negation of action/behavior	a child soccer player jumps for the ball to prevent it from going into the net but , does not successfully accomplish his goal .
not	Negation of action/behavior	man in a dark blue snow jacket with black pants and blue snowshoes , tries to make it through to a snow covered entrance and does not quite make it .
no	False positive	a crowd of people are standing no a busy sidewalk .
no	Salient absence	while seated on a chair , a man wearing a blue shirt , gray pants , multicolored bandanna , and no shoes is blowing through a long tube .
no	Salient absence	a man with no shoes sits on a bicycle rack next to a pile of trash .
nothing	Not a description/Meta	there 's nothing like a hot day at the races and smelling the rubber burn
not	Negation of attitude	an older man is loving on a little boy , but the little 's face does not make it look like he is loving it .
n't	Negation of action/behavior	a young asian child stands at the top of some steps and does n't seem to notice the person taking their picture .
lack	Salient absence	five people standing on a stage , getting ready to perform , who are unrecognizable due to the lack of lighting .
not	Negation of property	there are four boys playing soccer , but not all of them are on the same team , the closest boy is on the red team wearing white trunks and a white shirt while the other three boys are on the blue team and wearing blue trunks and blue shirts .
no	Salient absence	this is a harsh city scene with no grass or greenery , tall buildings that bring too much shade and a feeling of decrepitness .
no	Salient absence	a man with no shoes on a mountain putting a pair of pants on .
no	Salient absence	a smiling girl with no shirt on and braids in her hair plays in the water of a public fountain .
without	Salient absence	two men without shirts are washing a roof .
n't	Negation of attitude	three young people stand on a stage outside with guitars over their shoulders in front of a crowd , with one person in the crowd also holding a guitar , but many of the people in the crowd do n't seem to be too interested in what is happening on stage .
without	Salient absence	two motorcycle racers on a track , one without his motorcycle .
no	Quotes and idioms	us troops keeping calm in a no fly zone at one of the crucial points in tripoli , libya .
without	Salient absence	a hawaiian man without a shirt on and wearing a pink flower in his hair and a green wrap playing an instrument .
nothing	Salient absence	a child in almost nothing but blue flip-flops is taking a walk .
no	Salient absence	a man wearing no shirt is walking next to a black pick up truck .
not	Salient absence	a group of people are either standing or sitting , some are wearing hats and scarves , while some are not .
no	Salient absence	two men with no shirts jumping over a rail .
miss	False positive	"a child with shaggy , straight , sandy-blonde hair holds up a misspelled sign reading "" radeo "" next to a radio-making kit ."
no	Salient absence	a young man with no shirt on is standing near a car with surfboards on it .
not	Salient absence	a young male swimmer , not wearing a swim cap , doing the backstroke in a lap pool .
not	Salient absence	a young woman is not wearing clothes and is taking a picture of herself .
n't	Other	the young boys are looking for apples that do n't exist .
not	Negation of property	a woman wearing yellow is outside under a hut that has not yet been completely built .
no	Salient absence	a bearded man wearing no t-shirt fixes his bicycle .
without	Salient absence	a man is walking in front of an older home without any paint on it
not	Outside the frame	many people have gathered to look at something that is not in the photo .
no	Salient absence	four horses with cowboy riders running near a fifth horse that has no rider .
without	Salient absence	a man is riding the bike without wearing his helmet .
miss	False positive	a man smokes next to a pillar with a sign for a missing woman taped to it .
no	Salient absence	two topless men and a woman wearing a dress are splashing around waist deep in ice cold water ; the trees in the background have no leaves and the ground is covered with snow .
no	Not a description/Meta	variety is the spice of life no matter what the culture may be .
no	Quotes and idioms	three young boys playing hear no evil , speak no evil , see no evil
without	Salient absence	three men , two with shirts , one without working on the roof of a house .
not	Quotes and idioms	"an elderly man is holding a flag pole with a "" do not tread on me "" flag and a sign that says "" thank you u.s. troops . """
no	Salient absence	a man with a black baseball cap , blue shorts , gloves and no shirt is standing atop a roof .
without	Salient absence	two children without shirts on sit at the edge of a fountain .
not	Outside the frame	not appearing within my field of vision .
no	Quotes and idioms	"a woman walks past a garage door that says "" no parking any time . """
not	Negation of attitude	a stout gentleman does not know how to use his umbrella .
not	Other	i see people going into a yellow bus from another country , not united states .
no	Salient absence	man with no shirt on wearing shorts and hiking boots standing with hand on his head looking out onto a mountain .
not	Negation of attitude	this child is visiting the pet zoo for the first time and did not expect the deer to give him a kiss .
n't	Negation of attitude	a boy from another country is being photographed by a tourist , and he does n't know what to make of it .
no	Quotes and idioms	three people stand , ready to ski , next to a no skiing sign .
without	Salient absence	rock climber without a rope .
no	Salient absence	one individual with no shoes creating pottery in the sun while sitting on the ground .
no	Salient absence	a girl wearing a red tank top and denim shorts with no shoes is walking in a parking lot towards a group of stores .
without	Salient absence	a man without a shirt is standing next to two other men in front of a large boat .
no	Salient absence	a black man , running in mud , with no shirt on .
no	Salient absence	a man with no shirt on is standing next to a dumpster outside .
without	Negation of action/behavior	a baseball player wearing a blue uniform with the letter 16 on it , is attempting to hit the base without the opposite team tagging him out .
n't	Not a description/Meta	i do n't see a picture i do n't see a picture i do n't see a picture i do n't see a picture
miss	False positive	"a boy and girl ride in the front of a small train labeled "" mississippi train "" ."
no	Quotes and idioms	two skateboarders walking down a street filled with no parking sings .
no	Salient absence	a large man with no shirt on standing next to a motorcycle .
no	Salient absence	a girl stands on the ledge of her window while wearing no socks .
no	Salient absence	barefoot men wearing black masks and no shirts are walking in a procession .
miss	Negation of action/behavior	a man swinging a cricket bat and missing the ball .
not	Other	five young people smiling for picture and one child not facing front
n't	Other	people try to make a point about how big companies do n't care about people and only car about money .
miss	Salient absence	a child who is missing one shoe is sitting on a red cushion .
no	Salient absence	a shirtless man with a white hat and no shoes sitting crisscross with his back against the wall holding up a white plastic cup .
nothing	Not a description/Meta	"something seems to be better than nothing as a young adult male plays a violin near the entrance of a store with his violin case open ready to accept the "" tips "" of his fans ."
no	Salient absence	a woman with dark hair and a white shirt sitting at a table holding a young child with shorts and no shirt .
not	Quotes and idioms	a dark-skinned boy with blue shorts , a black tank top , and sandals is standing on the walk or do not walk street sign .
fail	Negation of action/behavior	after almost landing his ball in the water , a golfer fails at his recovery shot .
not	Quotes and idioms	"a man is holding up a card that says "" i 'm a photographer not a terrorist "" overlooking a crowd of people ."
without	Salient absence	a guy without a shirt on climbing up the side of a rock .
no	Salient absence	a woman , with no shoes on , is getting into the backseat of a car .
no	Salient absence	a young girl in a yellow dress and no shoes dancing on the dugout at a baseball game .
no	Salient absence	a little boy in black shorts and no shirt is holding on to handles as he flies down a rope .
without	Salient absence	two men are riding on a subway while reading books without wearing any pants .
no	Salient absence	the colorful streets of a southeast asian city are lined with a few pedestrians , a few cyclists , but no automobiles .
not	Negation of action/behavior	two men not looking at pictures .
not	Negation of property	a young girl with a scarf on her head , not yet in her mid teens , gazing at something that may have caught her interest .
without	Salient absence	a man is rock climbing without a shirt
without	Salient absence	a man without safety equipment rides a snowboard across an elevated , curved surface
no	Salient absence	a boy with no shirt and a volleyball in his hand .
no	Negation of action/behavior	a cyclist riding with no hands in a race .
n't	Salient absence	two young boys are outside talking and are n't wearing shirts .
no	Negation of action/behavior	seated street musician in black derby plays wind instrument with no one listening or watching .
no	Salient absence	a person is scrubbing a toilet while wearing a gas mask , and oddly no gloves .
no	Salient absence	a man is standing with no shirt on is standing in waist-deep water .
miss	Negation of action/behavior	a white guy in the middle of missing another layup .
no	Salient absence	a man walking with no shirt on and wearing sunglasses .
not	Salient absence	man with an orange shirt is grinding on stone , he is not wearing shoes .
not	Not a description/Meta	this bathtub is not staying in the old house .
no	Salient absence	a woman wearing socks with no shoes is standing at the open back door of her car .
n't	Negation of attitude	a woman who appears to be a student , laughs at something that her male companion does n't seem to find amusing .
no	Salient absence	a person , wearing no shirt , is sitting in a white chair staring over a ledge .
n't	(Preventing) future events	a girl tries holding onto a vine so she so n't fall into the water .
not	Salient absence	a dog walking around with his leash but not with his owner .
without	Salient absence	two toddlers , one topless , one without pants , standing on a floor with water sprinklers .
not	Salient absence	woman with not a whole lot of clothes on playing on phone
miss	False positive	two bums are sitting on a sidewalk outside a peace mission in portland oregon .
no	Salient absence	a man with no shirt on is hunched over pressing a blade up against his right pectoral muscle , as he shows signs of agony .
no	Salient absence	three boys with no shirts on are sitting on cement steps by the water .
lack	False positive	a man in a long-sleeved lack shirt sitting at an organ in a large building as people 3 people look on .
not	Other	the little boy in the blue t-shirt is smiling under the blue umbrella even though it is not raining .
no	Quotes and idioms	a little girl in a walker that looks like she may be up to no good .
without	Salient absence	a man on a motorcycle without a shirt and another man standing under shade .
no	Negation of action/behavior	a man performs a stoppie trick on his bmx green bicycle with no hands .
miss	Salient absence	the man in the gray hooded jacket finds the missing piece .
without	Salient absence	a man without a shirt is working on top of a building with scaffolding attached .
not	Other	if it were not for the top of some man 's head , one would see a group of boy scouts sitting in front of a barricade surrounding a crowd of people holding english flags in birmingham .
n't	Not a description/Meta	four buddhist monks walk down a street ... and no , this is n't the beginning of a joke .
not	Negation of property	a wild animal not found in america jumping through a field .
no	Salient absence	a man with no shirt on is washing his shirt in the fountain in the middle of a park .
not	Other	two men sit together and a woman is not too far from them under a bridge as all three watch the water in front of them .
no	Salient absence	a man with no shoes sawing a piece of wood .
not	Other	a man dressed as a prisoner being punished for not having a permit .
miss	Salient absence	a man in a blue and black jersey and missing one foot hits a volleyball from a sitting position .
without	Salient absence	two men are wrestling without any shirts on while a judge or ref of some sort starts to interfere .
n't	Negation of property	bicyclist walks bike down a tunnel that does n't allow cycling .
no	Salient absence	two groups of people crossing a street with no traffic , with multicolored multistory apartment buildings and a religious building in the background .
not	Outside the frame	three young , male members of a band , one of whose face is not shown , one who is playing a bass guitar , and one who is smiling .
miss	Salient absence	blond girl with missing front tooth , in pool .
no	Salient absence	a man wearing no shirt rides a skateboard with a brown dog .
no	Salient absence	a man with no shoes on is watching the sunset over a town .
no	Negation of property	the bagel shop is no longer in business .
no	Negation of property	a man does fake rock climbing on a park 's rock climbing rock that is no more than eleven feet tall .
not	Other	shirt-wearing surfer meets a low wave head on , not far from fishing boat in background .
n't	Not a description/Meta	i do n't see a picture i do n't see a picture i do n't see a picture
not	Negation of attitude	a baby in a polka dot bib is not happy eating his soup .
no	Salient absence	a man with no shirt is standing in a parade wearing a plastic flower necklace .
miss	Negation of action/behavior	a major league baseball player with the number 22 swings and misses .
miss	Salient absence	a short-haired blue bird it may be wearing a black tank top and white pants is carrying a little girl with blond-hair as she holds on to her missing shoe
no	Salient absence	two kids are looking up , one has no shirt and the other has on a white shirt with a stool on his head .
miss	Quotes and idioms	"a man smokes while leaning against a pillar , which has a "" missing person "" flier posted on it ."
no	Salient absence	man with no shirt walking behind a truck .
no	Quotes and idioms	"a young asian woman walks past a blue wall that says "" post no bills . """
not	Negation of action/behavior	a man shaves his neck but not his beard .
no	Not a description/Meta	there is no food at home and waiting for my son .
without	Salient absence	the men are without shirt and still enjoying the cold temperature outside their cabin .
n't	Not a description/Meta	that hotdog just was n't going down right , was it the drinking or the burnt dog ?
no	Negation of action/behavior	a boy rides a bicycle with no hands and a sign on his shirt in the shape of a lemon that says $ 1 .
without	Salient absence	three men are bathing in a canal without their shirts .
not	Quotes and idioms	"a child climbing timber stacks while a sign says "" do not climb on timber stacks "" ."
not	(Preventing) future events	two baseball players are trying to catch this ball and not dance with each other .
no	Salient absence	a man wearing khaki pants and no shirt is shaving his face near a boxcar .
miss	Negation of action/behavior	the little kid just missed a soccer kick for the goal
not	Quotes and idioms	"a good-looking firefighter sets up "" do not cross "" tape in the city ."
n't	Salient absence	a woman playing an electric guitar that does n't have any strings .
not	Negation of property	a man in glasses completes a task beside a monitor that is not on .
no	Salient absence	a man with no shirt on looking out of a window .
not	Negation of property	a man with a wakeboard is diving over a surface that is not water .
not	(Preventing) future events	a horse has fallen down on the green grass and the jockey riding on top is trying his hardest to not fall off .
not	Salient absence	a man that is not wearing a shirt is brushing his teeth .
no	Salient absence	a man with glasses and no shirt looks in the mirror as he shaves .
not	Other	one boy running while carrying a football with four other boys not far behind in a game of flag football .
without	Salient absence	a man without a shirt , sitting on a chair on a riverbank , talking on a cellphone .
no	Salient absence	a man sitting in the street with no shoes on .
no	Salient absence	acrobatic entertainers with no shirts perform for spectators .
no	Negation of action/behavior	a statue at a museum that no seems to be looking at .
not	Other	a man sits alone in front of a building , hanging his head so low it appears to not exist .
no	Quotes and idioms	the man is wearing a no sleeve shirt and blue jeans on a graffiti wall .
no	Salient absence	a man with no shirt on and a hat is using a hammer and anvil .
not	Other	a lacrosse player is looking at an object in the sky that is not the ball .
no	Salient absence	four young men stare up at a basketball hoop with no net , in an outdoor , urban basketball court .
miss	Negation of action/behavior	man playing for a baseball team with a blue protective hat and baseball uniform , playing for south carolina , is swinging the bat and missing the ball .
no	Salient absence	a man with no shirt on is rock climbing .
not	Other	a foreign person walks with a material down a walkway heading through a residential area of a foreign country that is not recognizable through the photo .
no	Salient absence	child in the road have no clothes
no	Quotes and idioms	"woman in white t-shirt walks past blue wall that says "" post no bills . """
no	Salient absence	someone in a red shirt and no shoes is sitting with their possessions on the road .
no	Salient absence	man wearing a helmet is taking two small children with no helmets for a ride on a motorcycle .
miss	Negation of action/behavior	man with number eleven uniform making a dive and missing the ball during a baseball game .
not	Quotes and idioms	"a woman in a green jacket presses the "" do not walk "" button so she can cross the road ."
n't	Outside the frame	a bunch of hippies laying on the ground being entertained by something we ca n't see .
no	Salient absence	a blond boy slides down a sand dune on a skateboard with no wheels .
n't	Outside the frame	the back of two women looking at something which ca n't be seen but the reflection of one of the women can be seen in the mirror on the table .
not	Other	a man with a cap and jeans is washing the window not on ground level .
without	Salient absence	people viewing a sculpture with a man without a face , but with a suit , tie , glasses and a hat holding a multi color umbrella
no	Salient absence	a young man wearing shorts and no shirt is high kicking as water flies from his clothing .
without	Salient absence	a man without a shirt is walking on top of lots of rocks .
not	Other	the bulls wins , but not before it is stopped in its tracks .
miss	Salient absence	a smiling , middle-aged hispanic or indian woman with braided hair , missing teeth and a round red cap and red shawl is standing outside by some buildings on a sunny day .
n't	Quotes and idioms	sombody has stuck the face of groucho marx on a walk do n't walk button .
not	Outside the frame	a woman is taking a picture of something not in the shot with her phone .
n't	(Preventing) future events	a lady is playing jenga , hoping the tower does n't fall .
without	Salient absence	a man without a shirt is standing next to a motorcycle , on a coast shore .
without	Salient absence	people without shoes on acting like they are sleeping .
no	Salient absence	a man wearing no shirt begins to jump from a drum into a crowd of others .
no	Salient absence	a young guy is brushing his teeth with no shirt standing in front of a mirror wearing his goggles .
no	Salient absence	a man meditating on a tall building with no shoes on
no	Salient absence	a young teen boy is skateboard wearing some long black shorts and no shirt on .
no	Salient absence	two guys , with no shirts on are throwing punches while in a cage .
not	Salient absence	a group of soldiers are standing by a building , along with one man who is not wearing a uniform .
not	Other	a woman in her early fifties walks by herself in the subway , another woman is not far behind .
not	Outside the frame	people playing pool , one is a man wearing a blue shirt and the others are women but their heads are not within the camera shot .
no	Salient absence	man singing into a microphone with no shirt on is next to a woman playing an accordion .
no	Salient absence	a group is dancing with no shoes , with lights in the background .
not	Negation of attitude	depressed man who does not know what to do .
not	Negation of property	group class for martial arts , some in uniform and some not , taking place in an outdoor facility .
not	Negation of attitude	a woman with boots on sitting and not wanting a picture taken of her .
no	Salient absence	a little girl runs down a summer street with no shoes and a lunchbox .
n't	Not a description/Meta	run , run careful do n't hit the van .
no	Salient absence	a young man climbing on a rock with no shirt on
n't	Negation of action/behavior	a man in plaid pants and a vest is speaking into a microphone to a group of people , who do n't appear to be looking at him .
without	Salient absence	a man without shirt but wearing a flower necklace is holding a flag pole
not	Negation of property	a woman wears her hair down and does not have her head covered like those around her .
no	Salient absence	the climber is hanging off a vertical cliff with gear but no shirt .
not	Negation of action/behavior	a black or mixed-race man wearing a denim jacket and baseball cap is holding one arm in the air and with his other hand is holding a microphone to his mouth , but he is not saying anything at the moment the picture is taken .
no	Salient absence	an impoverished person , wearing a torn brown shirt and no shoes , is kneeling down along the banks of a trash infested body of water .
no	Not a description/Meta	four buddhist monks walk down a street ... and no , this is n't the beginning of a joke .
no	Salient absence	a young boy playing tennis on a wet court with no shoes .
miss	False positive	a mormon missionary walks his bicycle past a metro sign .
no	Salient absence	a man wearing no shirt and a backpack runs with a box on his head .
without	Salient absence	man without a shirt is climbing a rock .
no	Salient absence	a puppy with no tail is held by its collar by its owner .
no	Salient absence	a person jumping their bike in the woods in front of trees with no leaves .
not	Negation of action/behavior	a young caucasian boy with a rock star shirt being camera shy trying to not look at the camera .
without	Salient absence	a boy without a shirt on is jumping in the air almost upside down .
no	Salient absence	a man with no shirt on playing the drums .
no	Salient absence	a man with no shirt and tattoos on his shoulder is walking near a truck .
nothing	Salient absence	two ladies are wearing nothing except body paint and riding on bicycles in a street fair .
without	Salient absence	guy without a shirt in black pants doing stunts on his skateboard .
nothing	Salient absence	a man is standing on a dock with nothing on but a towel around his waist .
none	Negation of action/behavior	four construction workers stand on a beach-side road in the process of being rebuilt ; none of them are working .
n't	Negation of attitude	a man in a pinstriped suit walks down the street and does n't notice the quirky poster on his left .
not	Other	a man at the rodeo is riding his horse while upside down and not on the saddle
no	Salient absence	a middle-aged white male with blue jeans , black gloves , no shirt and a hat is working on a roof .
neither	Other	two guys are in he air with neither foot touching the ground .
no	Salient absence	two men with no shirts on a balcony pointing and looking up .
without	Salient absence	two men , one without a shirt , are looking at bags of fish hanging from a rack .
not	Negation of action/behavior	two men on their laptops not talking to each other .
no	Salient absence	two young boys wearing shorts , no shirt , and blue crocs , standing on a rock posing for a photo with an open field and trees in the background .
no	Salient absence	a man running with no shoes on his feet .
n't	Not a description/Meta	lady does n't have time to speak to a real person .
n't	Not a description/Meta	board games are fun , unless you do n't get laid if you win .
not	Negation of property	a man wearing a hard hat stands in front of buildings not yet finished being built .
without	Salient absence	a man sitting outside , without shoes .
miss	Negation of action/behavior	a batter playing cricket missed the ball and the person behind him is catching it .
lack	False positive	a man in a white shirt and black shorts running along the edge of a lack along a concrete path , with buildings and trees in the background .
